FillNumber,RunNumber,RtsStatus,ShiftStatus,RunType,BeginRunTime,TotalRunTime,nEvents,nFiles
18749.0,16064077,0,0,3,2015-03-06 02:31:45,446,749228,83
18749.0,16064078,0,0,3,2015-03-06 02:40:15,2136,4657146,329
18749.0,16064079,0,0,3,2015-03-06 03:17:45,1982,4251204,336
18749.0,16064080,0,0,3,2015-03-06 03:51:44,1467,3219099,248
18749.0,16064081,0,0,3,2015-03-06 04:18:12,174,353316,108
18749.0,16064082,0,0,3,2015-03-06 04:33:37,1969,1668237,162
18749.0,16065001,0,0,3,2015-03-06 05:07:26,1921,3728018,266
18749.0,16065002,0,0,3,2015-03-06 05:40:39,1832,3645302,268
18749.0,16065003,0,0,3,2015-03-06 06:12:09,1867,3807911,286
18749.0,16065005,0,0,3,2015-03-06 06:47:15,1936,3999951,270
18749.0,16065006,0,0,3,2015-03-06 07:25:25,1917,3948589,275
18749.0,16065007,0,0,3,2015-03-06 07:58:28,1904,3999965,272
18749.0,16065008,0,0,3,2015-03-06 08:31:07,1775,3773924,250
18749.0,16065009,0,0,3,2015-03-06 09:01:40,1824,3802245,266
18749.0,16065010,0,0,3,2015-03-06 09:33:04,1817,3697229,245
18749.0,16065011,0,0,3,2015-03-06 10:04:27,100,15277,69
18749.0,16065012,0,0,3,2015-03-06 10:07:04,1953,3999932,254
18749.0,16065013,0,0,3,2015-03-06 10:40:34,1973,3999969,249
18749.0,16065014,0,0,3,2015-03-06 11:14:27,1344,2561948,182
18749.0,16065015,0,0,3,2015-03-06 11:37:44,1608,3327134,219
18749.0,16065016,0,0,3,2015-03-06 12:05:25,1826,3677451,253
18749.0,16065017,0,0,3,2015-03-06 12:36:50,1827,3561018,223
18749.0,16065018,0,0,3,2015-03-06 13:08:50,1167,2448654,172
18750.0,16065023,0,0,3,2015-03-06 15:19:19,1308,2913530,220
18750.0,16065024,0,0,3,2015-03-06 15:42:21,852,1829331,192
18750.0,16065025,0,0,3,2015-03-06 15:58:38,1810,4310373,332
18750.0,16065026,0,0,3,2015-03-06 16:34:40,833,1660996,150
18750.0,16065027,0,0,3,2015-03-06 16:50:32,1995,3995564,327
18750.0,16065028,0,0,3,2015-03-06 17:25:28,1499,2907026,261
18751.0,16065036,0,0,3,2015-03-06 19:33:57,1405,2278871,195
18751.0,16065037,0,0,3,2015-03-06 19:58:24,1315,2337762,252
18751.0,16065038,0,0,3,2015-03-06 20:21:16,1936,3813707,331
18751.0,16065039,0,0,3,2015-03-06 20:55:33,1484,2858646,258
18751.0,16065041,0,0,3,2015-03-06 21:38:27,1667,3518911,296
18751.0,16065042,0,0,3,2015-03-06 22:07:10,1189,2392703,213
18751.0,16065043,0,0,3,2015-03-06 22:35:13,146,249560,98
18751.0,16065044,0,0,3,2015-03-06 22:41:11,1906,3790765,288
18751.0,16065045,0,0,3,2015-03-06 23:13:57,2035,3926806,314
18751.0,16065046,0,0,3,2015-03-06 23:48:51,1809,3743808,287
18751.0,16065047,0,0,3,2015-03-07 00:20:00,1810,3660229,277
18751.0,16065048,0,0,3,2015-03-07 00:51:11,1812,3532055,267
18751.0,16065059,0,0,3,2015-03-07 02:25:46,12,22272,129
